Date,Ibirapuera,Pinheiros
August 26, 2017,2126,2287
August 27, 2017,1479,1624
August 28, 2017,1531,1775
August 29, 2017,1556,1776
August 30, 2017,1157,1219
August 31, 2017,1267,1363
September 1, 2017,1042,1128
September 2, 2017,2190,2472
September 3, 2017,1442,1610
September 4, 2017,1466,1674
September 5, 2017,1377,1608
September 6, 2017,1774,1925
September 7, 2017,891,991
September 8, 2017,902,975
September 9, 2017,1840,2041
September 10, 2017,1492,1610
September 11, 2017,1545,1721
September 12, 2017,1521,1674
September 13, 2017,1523,1662
September 14, 2017,1404,1578
September 15, 2017,1090,1203
September 16, 2017,2062,2325
September 17, 2017,1470,1548
September 18, 2017,1564,1689
September 19, 2017,1521,1723
September 20, 2017,1501,1629
September 21, 2017,1410,1568
September 22, 2017,1063,1162
September 23, 2017,1729,1964
September 24, 2017,1426,1566
September 25, 2017,1597,1713
September 26, 2017,1581,1705
September 27, 2017,1335,1369
September 28, 2017,1037,1116
September 29, 2017,364,452
September 30, 2017,1800,1877
October 1, 2017,1042,1240
October 2, 2017,1051,1228
October 3, 2017,1552,1739
October 4, 2017,1553,1721
October 5, 2017,1391,1543
October 6, 2017,214,223
October 7, 2017,1332,1471
October 8, 2017,1548,1676
October 9, 2017,1418,1516
October 10, 2017,1353,1508
October 11, 2017,1472,1584
October 12, 2017,835,921
October 13, 2017,796,838
October 14, 2017,888,992
October 15, 2017,1259,1379
October 16, 2017,1477,1637
October 17, 2017,1575,1704
October 18, 2017,1536,1784
October 19, 2017,1326,1388
October 20, 2017,838,958
October 21, 2017,566,633
October 22, 2017,925,1116
October 23, 2017,1272,1426
October 24, 2017,1410,1551
October 25, 2017,958,1095
October 26, 2017,902,1012
October 27, 2017,967,1081
October 28, 2017,1456,1522
October 29, 2017,1169,1227
October 30, 2017,1320,1425
October 31, 2017,1407,1546
November 1, 2017,1925,2092
November 2, 2017,1086,1161
November 3, 2017,926,953
November 4, 2017,782,802
November 5, 2017,981,1145
November 6, 2017,1461,1668
November 7, 2017,1386,1535
November 8, 2017,1182,1300
November 9, 2017,1356,1481
November 10, 2017,695,692
November 11, 2017,2312,2392
November 12, 2017,1518,1719
November 13, 2017,1614,1835
November 14, 2017,2092,2285
November 16, 2017,889,992
November 17, 2017,847,984
November 18, 2017,987,1048
November 19, 2017,888,1049
November 20, 2017,1096,1236
November 21, 2017,1096,1224
November 22, 2017,1397,1514
November 23, 2017,1402,1561
November 24, 2017,1178,1252
November 25, 2017,1620,1669
November 26, 2017,766,928
November 27, 2017,1530,1594
November 28, 2017,1641,1796
November 29, 2017,1416,1602
November 30, 2017,1289,1414
December 1, 2017,833,896
December 2, 2017,1800,1857
December 3, 2017,1488,1645
December 4, 2017,1686,1873
December 5, 2017,1580,1777
December 6, 2017,1326,1455
December 7, 2017,1150,1290
December 8, 2017,958,1046
December 9, 2017,1882,2157
December 10, 2017,1336,1530
December 11, 2017,1463,1579
December 12, 2017,1521,1670
December 13, 2017,1538,1758
December 14, 2017,1398,1591
December 15, 2017,849,908
December 16, 2017,1760,1912
December 17, 2017,1365,1434
December 18, 2017,1435,1600
December 19, 2017,1202,1297
December 20, 2017,542,654
December 21, 2017,764,932
December 22, 2017,820,926
December 23, 2017,1045,1150
December 24, 2017,443,501
December 25, 2017,679,796
December 26, 2017,859,991
December 27, 2017,498,565
December 28, 2017,336,348
December 29, 2017,381,419
December 30, 2017,415,485
December 31, 2017,645,742
January 1, 2018,747,828
January 2, 2018,611,658
January 3, 2018,1241,1373
January 4, 2018,1060,1218
January 5, 2018,943,985
January 6, 2018,486,463
January 7, 2018,357,379
January 8, 2018,942,1085
January 9, 2018,1279,1396
January 10, 2018,1257,1348
January 11, 2018,1177,1344
January 12, 2018,682,736
January 13, 2018,1946,2172
January 14, 2018,1381,1569
January 15, 2018,1402,1526
January 16, 2018,1457,1638
January 17, 2018,1507,1800
January 18, 2018,1235,1432
January 19, 2018,1022,1089
January 20, 2018,2033,2320
January 21, 2018,1338,1493
January 22, 2018,1436,1650
January 23, 2018,1391,1561
January 24, 2018,1623,1801
January 25, 2018,755,843
January 26, 2018,866,938
January 27, 2018,2185,2312
January 28, 2018,1210,1320
January 29, 2018,896,1012
January 30, 2018,1607,1804
January 31, 2018,1722,1896
February 1, 2018,1530,1734
February 2, 2018,559,701
February 3, 2018,1248,1593
February 4, 2018,1556,1732
February 5, 2018,1626,1814
February 6, 2018,1846,2015
February 7, 2018,1739,1970
February 8, 2018,1625,1821
February 9, 2018,416,521
February 10, 2018,934,1339
February 11, 2018,625,850
February 12, 2018,526,686
February 13, 2018,704,683
February 14, 2018,1187,1351
February 15, 2018,1366,1498
February 16, 2018,675,889
February 17, 2018,1311,1752
February 18, 2018,1703,1915
February 19, 2018,1717,1959
February 20, 2018,1877,2166
February 21, 2018,1724,1844
February 22, 2018,1690,1939
February 23, 2018,1284,1294
February 24, 2018,2255,2397
February 25, 2018,1394,1241
February 26, 2018,1673,1988
February 27, 2018,1984,2161
February 28, 2018,1847,2040
March 1, 2018,1580,1689
March 2, 2018,1010,1171
March 3, 2018,2130,2306
March 4, 2018,1784,2041
March 5, 2018,1789,1892
March 6, 2018,1710,1836
March 7, 2018,1487,1740
March 8, 2018,1775,1975
March 9, 2018,1057,1125
March 10, 2018,2384,2542
March 11, 2018,1765,1927
March 12, 2018,1828,2069
March 13, 2018,1836,1869
March 14, 2018,1935,2219
March 15, 2018,1796,2080
March 16, 2018,1089,1214
March 17, 2018,2255,2423
March 18, 2018,1987,2071
March 19, 2018,1650,1550
March 20, 2018,1651,1944
March 21, 2018,1863,2002
March 22, 2018,1801,2052
March 23, 2018,1180,1356
March 24, 2018,2175,2436
March 25, 2018,1762,1927
March 26, 2018,1653,1562
March 27, 2018,1497,1547
March 28, 2018,1511,1628
March 29, 2018,1160,1297
March 30, 2018,904,962
March 31, 2018,1400,1710
April 1, 2018,1809,2035
April 2, 2018,1919,2000
April 3, 2018,1977,2215
April 4, 2018,2042,2242
April 5, 2018,1900,2017
April 6, 2018,1110,1226
April 7, 2018,1878,2066
April 8, 2018,2009,2147
April 9, 2018,2288,2324
April 10, 2018,2225,2320
April 11, 2018,2185,2267
April 12, 2018,2018,2105
April 13, 2018,1140,1223
April 14, 2018,367,392
April 15, 2018,1744,1690
April 16, 2018,2214,2225
April 17, 2018,1120,1920
April 18, 2018,2215,2310
April 19, 2018,1993,2097
April 20, 2018,1389,1470
April 21, 2018,2086,2268
April 22, 2018,2058,2170
April 23, 2018,2153,2480
April 24, 2018,2223,2438
April 25, 2018,2155,2353
April 26, 2018,1937,2181
April 27, 2018,1157,1160
April 28, 2018,1912,2008
April 29, 2018,1417,1451
April 30, 2018,2429,2621
May 1, 2018,2107,2392
May 2, 2018,2224,2407
May 3, 2018,2113,2344
May 4, 2018,1179,1358
May 5, 2018,2327,2679
May 6, 2018,2099,2257
May 7, 2018,2242,2301
May 8, 2018,2211,2400
May 9, 2018,2137,2345
May 10, 2018,2128,2380
May 11, 2018,1013,1095
May 12, 2018,1277,1302
May 13, 2018,2029,2359
May 14, 2018,2443,2601
May 15, 2018,2329,2503
May 16, 2018,2403,2564
May 17, 2018,2242,2433
May 18, 2018,681,666
May 19, 2018,1481,1763
May 20, 2018,2067,2229
May 21, 2018,2296,2479
May 22, 2018,2231,2447
May 23, 2018,2367,2702
May 24, 2018,2553,2763
May 25, 2018,1579,1770
May 26, 2018,2795,3209
May 27, 2018,3301,3469
May 28, 2018,3643,3948
May 29, 2018,3067,3377
May 30, 2018,2805,3167
May 31, 2018,1863,2096
June 1, 2018,1387,1466
June 2, 2018,666,707
June 3, 2018,2049,2272
June 4, 2018,2170,2415
June 5, 2018,2294,2545
June 6, 2018,1755,1987
June 7, 2018,2107,2379
June 8, 2018,995,1082
June 9, 2018,1844,1989
June 10, 2018,2564,2791
June 11, 2018,2649,2749
June 12, 2018,2307,2263
June 13, 2018,1976,2029
June 14, 2018,1991,2089
June 15, 2018,645,721
June 16, 2018,761,893
June 17, 2018,2112,2469
June 18, 2018,2546,2784
June 19, 2018,2586,2844
June 20, 2018,2477,2743
June 21, 2018,2062,2317
June 22, 2018,1163,1266
June 23, 2018,2155,2265
June 24, 2018,2385,2716
June 25, 2018,2716,2957
June 26, 2018,2589,2904
June 27, 2018,2432,2649
June 28, 2018,2360,2637
June 29, 2018,997,1123
June 30, 2018,2005,2192
July 1, 2018,2262,2481
July 2, 2018,2541,2622
July 3, 2018,2489,2627
July 4, 2018,2448,2652
July 5, 2018,2168,2624
July 6, 2018,999,1095
July 7, 2018,2373,2602
July 8, 2018,1884,2056
July 9, 2018,1826,2080
July 10, 2018,1886,1945
July 11, 2018,1997,2153
July 12, 2018,1926,2102
July 13, 2018,1252,1387
July 14, 2018,1861,1971
July 15, 2018,2328,2657
July 16, 2018,2637,2907
July 17, 2018,2616,2816
July 18, 2018,2508,2773
July 19, 2018,2318,2605
July 20, 2018,1273,1356
July 21, 2018,1542,1628
July 22, 2018,2504,2729
July 23, 2018,2579,2575
July 24, 2018,2529,2602
July 25, 2018,2492,2711
July 26, 2018,2525,2717
July 27, 2018,1569,1668
July 28, 2018,2398,2659
July 29, 2018,2381,2492
July 30, 2018,1415,1809
July 31, 2018,1594,1595
August 1, 2018,2103,2426
August 2, 2018,1173,1066
August 3, 2018,1058,1113
August 4, 2018,1265,1272
August 5, 2018,1144,1380
August 6, 2018,2364,2731
August 7, 2018,2848,3009
August 8, 2018,2606,2841
August 9, 2018,2692,3011
August 10, 2018,1410,1530
August 11, 2018,1316,1363
August 12, 2018,2527,2882
August 13, 2018,3014,3392
August 14, 2018,2813,2972
August 15, 2018,2382,2591
August 16, 2018,2528,2754
August 17, 2018,1387,1563
August 18, 2018,2627,2719
August 19, 2018,3078,3573
August 20, 2018,3345,3692
August 21, 2018,3141,3305
August 22, 2018,3159,3509
August 23, 2018,3111,3373
August 24, 2018,1190,1259
August 25, 2018,892,966
August 26, 2018,2524,2872
August 27, 2018,3166,3516
August 28, 2018,3471,3582
August 29, 2018,3377,3728
August 30, 2018,3256,3624
August 31, 2018,1708,1678
September 1, 2018,2694,2746
September 2, 2018,2875,2961
September 3, 2018,2510,2492
September 4, 2018,2818,3100
September 5, 2018,3150,3381
September 6, 2018,2165,2406
September 7, 2018,1474,1515
September 8, 2018,2259,2277
September 9, 2018,2890,3317
September 10, 2018,3460,3620
September 11, 2018,3291,3548
September 12, 2018,3303,3530
September 13, 2018,1533,1538
September 14, 2018,1142,1152
September 15, 2018,2256,2393
September 16, 2018,1847,2454
September 17, 2018,3585,3916
September 18, 2018,3777,4197
September 19, 2018,2860,2738
September 20, 2018,3180,3396
September 21, 2018,1875,1987
September 22, 2018,2941,2962
September 23, 2018,3353,3742
September 24, 2018,3773,4112
September 25, 2018,3484,3707
September 26, 2018,3163,3293
September 27, 2018,3061,3140
September 28, 2018,1467,1778
September 29, 2018,1943,2228
September 30, 2018,2592,3088
October 1, 2018,3668,3999
October 2, 2018,3381,3277
October 3, 2018,3534,3590
October 4, 2018,3053,3241
October 5, 2018,979,1021
October 6, 2018,873,930
October 7, 2018,2128,2455
October 8, 2018,3311,3683
October 9, 2018,2686,3116
October 10, 2018,2398,2503
October 11, 2018,1998,2159
October 12, 2018,1371,1465
October 13, 2018,1550,1754
October 14, 2018,2103,2611
October 15, 2018,3187,3538
October 16, 2018,3188,3272
October 17, 2018,3099,3283
October 18, 2018,2809,2683
October 19, 2018,1590,1679
October 20, 2018,2105,2304
October 21, 2018,3207,3489
October 22, 2018,3662,3600
October 23, 2018,1723,2281
October 24, 2018,1872,2361
October 25, 2018,2942,3194
October 26, 2018,1180,1246
October 27, 2018,1338,1447
October 28, 2018,3158,3344
October 29, 2018,3708,3836
October 30, 2018,3197,2881
October 31, 2018,3293,3691
November 1, 2018,2304,2480
November 2, 2018,1710,1863
November 3, 2018,1623,1782
November 4, 2018,3044,3262
November 5, 2018,3488,3575
