Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
October 5, 2018,524,522
October 6, 2018,853,991
October 7, 2018,513,557
October 8, 2018,967,1422
October 9, 2018,796,988
October 10, 2018,558,589
October 11, 2018,598,708
October 12, 2018,659,1036
October 13, 2018,441,512
October 14, 2018,635,917
October 15, 2018,942,1382
October 16, 2018,922,1211
October 17, 2018,872,1246
October 18, 2018,698,823
October 19, 2018,754,1346
October 20, 2018,643,757
October 21, 2018,1020,1638
October 22, 2018,1176,1610
October 23, 2018,456,461
October 24, 2018,450,540
October 25, 2018,779,1047
October 26, 2018,647,840
October 27, 2018,1257,1694
October 28, 2018,879,1184
October 29, 2018,1138,1877
October 30, 2018,869,1615
October 31, 2018,958,1489
November 1, 2018,732,855
November 2, 2018,823,1127
November 3, 2018,397,609
November 4, 2018,850,1117
November 5, 2018,1060,1210
November 6, 2018,751,853
November 7, 2018,645,796
November 8, 2018,833,1018
November 9, 2018,634,877
November 10, 2018,770,1064
November 11, 2018,12,8
November 12, 2018,0,0
November 13, 2018,0,0
November 14, 2018,0,0
November 15, 2018,718,759
November 16, 2018,594,650
November 17, 2018,637,672
November 18, 2018,220,227
November 19, 2018,405,404
November 20, 2018,813,853
November 21, 2018,1044,1079
November 22, 2018,895,924
November 23, 2018,554,567
November 24, 2018,565,503
November 25, 2018,1053,1069
November 26, 2018,1226,1390
November 27, 2018,1104,1224
November 28, 2018,261,560
November 29, 2018,0,0
November 30, 2018,0,0
December 1, 2018,0,0
December 2, 2018,0,0
December 3, 2018,0,0
December 4, 2018,975,772
December 5, 2018,1035,999
December 6, 2018,836,858
December 7, 2018,597,634
December 8, 2018,863,846
December 9, 2018,1058,1163
December 10, 2018,1347,1410
December 11, 2018,1185,1195
December 12, 2018,963,1056
December 13, 2018,1026,1072
December 14, 2018,539,572
December 15, 2018,618,681
December 16, 2018,483,692
December 17, 2018,809,934
December 18, 2018,969,1034
December 19, 2018,1090,1155
December 20, 2018,904,898
December 21, 2018,754,736
December 22, 2018,459,465
December 23, 2018,442,404
December 24, 2018,685,666
December 25, 2018,879,937
December 26, 2018,891,948
December 27, 2018,754,755
December 28, 2018,784,768
December 29, 2018,686,628
December 30, 2018,525,576
December 31, 2018,529,524
January 1, 2019,769,777
January 2, 2019,710,735
January 3, 2019,610,611
January 4, 2019,418,444
January 5, 2019,747,819
January 6, 2019,1142,1174
January 7, 2019,978,1083
January 8, 2019,903,877
January 9, 2019,446,753
January 10, 2019,708,755
January 11, 2019,947,878
January 12, 2019,763,772
